Job Class,Percentage,Links
Management,6.1,http://www.forbes.com/management/
Business and Financial operations,5,http://www.bls.gov/oes/current/oes130000.htm
Computer and Mathematical,2.7,http://www.careers.org/occupations/field/15/computer-and-mathematical
Architecture and Engineering,1.7,https://datausa.io/profile/soc/170000/
"Life, Physical and Social Science",0.9,http://www.bls.gov/oes/current/oes190000.htm
Community and Social Service,1.6,https://www.governmentjobs.com/jobs?keyword=Community%20and%20Social%20Services
Legal,0.8,http://legalcareerpath.com/legal-careers/
"Education, training and library",6.1,https://collegegrad.com/careers/education-training-and-library
"Arts, design, entertainment, sports and media",1.7,http://www.careerprofiles.info/art-design-salaries.html
Healthcare practioners and technical,5.5,http://www.usawage.com/usa/healthcare_practitioners_and_technical_occupations-salary.php
Healthcare support,2.8,https://www.thebalance.com/health-care-support-careers-525634
Protective service,2.3,http://www.insidecareerinfo.com/careers/career-info/protective-services
Food preparation and serving,8.3,http://www.bls.gov/ooh/food-preparation-and-serving/home.htm
Building and grounds cleaning and maintenance,3.7,http://www.truity.com/career-profile/grounds-maintenance-worker
Personal care and service,4,http://www.citytowninfo.com/employment-categories/personal-care-and-service
Sales,10.2,http://www.careers.org/occupations/field/41/sales-and-related
Office and administrative support,15.1,http://job-outlook.careerplanner.com/Office-and-Administrative-Support-Worker-Supervisors-and-Managers.cfm
"Farming, fishing and forestry",0.6,http://www.environmentalscience.org/careers/agriculture-and-forestry
Construction and extraction,4.3,http://www.careerexplorer.net/construction-extraction-careers
"Installation, maintenance and repair",3.8,http://www.onetonline.org/find/family?f=49
Production,6.1,http://www.statisticbrain.com/production-occupation-salary-statistics/
Transportation and material moving,6.5,http://www.americasjobexchange.com/career-advice/top-seven-transportation-and-material-moving-occupations
Total,99.8,
